number,neoficialiai,compound,years
1,vieni,,metai
2,du,,metai
3,trys,,metai
4,keturi,,metai
5,penki,,metai
6,šeši,,metai
7,septyni,,metai
8,aštuoni,,metai
9,devyni,,metai
10,dešimt,,metų
11,vienuolika,,metų
12,dvylika,,metų
13,trylika,,metų
14,keturiolika,,metų
15,penkiolika,,metų
16,šešiolika,,metų
17,septyniolika,,metų
18,aštuoniolika,,metų
19,devyniolika,,metų
20,dvidešimt,,metų
21,dvidešimt,vieni,metai
22,dvidešimt,du,metai
23,dvidešimt,trys,metai
24,dvidešimt,keturi,metai
25,dvidešimt,penki,metai
26,dvidešimt,šeši,metai
27,dvidešimt,septyni,metai
28,dvidešimt,aštuoni,metai
29,dvidešimt,devyni,metai
30,trisdešimt,,metų
31,trisdešimt,vieni,metai
32,trisdešimt,du,metai
33,trisdešimt,trys,metai
34,trisdešimt,keturi,metai
35,trisdešimt,penki,metai
36,trisdešimt,šeši,metai
37,trisdešimt,septyni,metai
38,trisdešimt,aštuoni,metai
39,trisdešimt,devyni,metai
40,keturiasdešimt,,metų
41,keturiasdešimt,vieni,metai
42,keturiasdešimt,du,metai
43,keturiasdešimt,trys,metai
44,keturiasdešimt,keturi,metai
45,keturiasdešimt,penki,metai
46,keturiasdešimt,šeši,metai
47,keturiasdešimt,septyni,metai
48,keturiasdešimt,aštuoni,metai
49,keturiasdešimt,devyni,metai
50,penkiasdešimt,,metų
51,penkiasdešimt,vieni,metai
52,penkiasdešimt,du,metai
53,penkiasdešimt,trys,metai
54,penkiasdešimt,keturi,metai
55,penkiasdešimt,penki,metai
56,penkiasdešimt,šeši,metai
57,penkiasdešimt,septyni,metai
58,penkiasdešimt,aštuoni,metai
59,penkiasdešimt,devyni,metai
60,šešiasdešimt,,metų
61,šešiasdešimt,vieni,metai
62,šešiasdešimt,du,metai
63,šešiasdešimt,trys,metai
64,šešiasdešimt,keturi,metai
65,šešiasdešimt,penki,metai
66,šešiasdešimt,šeši,metai
67,šešiasdešimt,septyni,metai
68,šešiasdešimt,aštuoni,metai
69,šešiasdešimt,devyni,metai
70,septyniasdešimt,,metų
71,septyniasdešimt,vieni,metai
72,septyniasdešimt,du,metai
73,septyniasdešimt,trys,metai
74,septyniasdešimt,keturi,metai
75,septyniasdešimt,penki,metai
76,septyniasdešimt,šeši,metai
77,septyniasdešimt,septyni,metai
78,septyniasdešimt,aštuoni,metai
79,septyniasdešimt,devyni,metai
80,aštuoniasdešimt,,metų
81,aštuoniasdešimt,vieni,metai
82,aštuoniasdešimt,du,metai
83,aštuoniasdešimt,trys,metai
84,aštuoniasdešimt,keturi,metai
85,aštuoniasdešimt,penki,metai
86,aštuoniasdešimt,šeši,metai
87,aštuoniasdešimt,septyni,metai
88,aštuoniasdešimt,aštuoni,metai
89,aštuoniasdešimt,devyni,metai
90,devyniasdešimt,,metų
91,devyniasdešimt,vieni,metai
92,devyniasdešimt,du,metai
93,devyniasdešimt,trys,metai
94,devyniasdešimt,keturi,metai
95,devyniasdešimt,penki,metai
96,devyniasdešimt,šeši,metai
97,devyniasdešimt,septyni,metai
98,devyniasdešimt,aštuoni,metai
99,devyniasdešimt,devyni,metai
